"Sensitivity of Report w.r.t. Material Indicator","Sensitivity of Report w.r.t. Position: Magnitude (/m)","Sensitivity of Report w.r.t. Position[0] (/m)","Sensitivity of Report w.r.t. Position[1] (/m)","Sensitivity of Report w.r.t. Position[2] (/m)","Report: Pressure Drop 1 (Pa)","Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Material Indicator","Pressure (Pa)","Wall Shear Stress: Magnitude (Pa)","Wall Shear Stress[i] (Pa)","Wall Shear Stress[j] (Pa)","Wall Shear Stress[k] (Pa)","Topology Level Set","Position: Magnitude (m)","Position[X] (m)","Position[Y] (m)","Position[Z] (m)","X (m)","Y (m)","Z (m)"
0.0015000469284132123,4.9021321713665643e-08,3.9816247555431042e-08,-2.8596440568003176e-08,0,0.43906973541129179,0.00040619061250263489,-0.00035029079299420118,-0.00020563845464494079,0,0,4.5189114700703668,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.027577164470695838,-0.019500000007143244,0.019499999999108262,0,-0.019500000007143244,0.019499999999108262,0
0.001500043086707592,1.1355630874226696e-07,-2.1730098924288978e-08,-1.1145778598155298e-07,0,0.43906973541129179,0.00038624860147979951,-0.00032582978019490838,-0.00020741971093229949,0,0,4.5461056203191594,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.027613402555398785,-0.018499999990728686,0.020500000025110796,0,-0.018499999990728686,0.020500000025110796,0
0.001500039710663259,9.4212677352262412e-08,-3.1558796273549157e-09,-9.4159805637326725e-08,0,0.43906973541129179,0.0003698371230837566,-0.00030097356648184359,-0.00021492884843610227,0,0,4.5721849441345164,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.027713628683170639,-0.017499960531980295,0.021489453137941653,0,-0.017499960531980295,0.021489453137941653,0
0.0015000392450019717,7.2869317775440347e-07,7.0719206057908866e-07,1.7570753188100169e-07,0,0.43906973541129179,0.00035804729889146622,-0.00027552436222322285,-0.00022865737264510244,0,0,4.5976500835113505,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.027893257327177193,-0.01650003867401818,0.022489609335780571,0,-0.01650003867401818,0.022489609335780571,0
0.0015000401763245463,2.7463039511660957e-07,2.5352949747313561e-07,-1.0556821412207565e-07,0,0.43906973541129179,0.00036585157929995939,-0.00025961225037463009,-0.00025777675909921527,0,0,4.6231278600580357,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.028151376520639659,-0.015499999999724096,0.023500000000327127,0,-0.015499999999724096,0.023500000000327127,0
0.0015000773128122091,5.1994673972805597e-07,3.8312984417382475e-07,3.5150552578469595e-07,0,0.43906973541129179,0.00052023771470621782,-0.00044240948045626283,-0.00027371724718250334,0,0,4.3726138843271922,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.028991378032454475,-0.02450000000540524,0.01549999999857507,0,-0.02450000000540524,0.01549999999857507,0
0.0015000690473243594,2.2984141567885529e-07,1.8175315412316092e-07,1.406871256638036e-07,0,0.43906973541129179,0.00049430407761742864,-0.00042466568993404508,-0.00025297346292063594,0,0,4.4074441227085801,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.028714108021983868,-0.023499999973795489,0.016500000022114252,0,-0.023499999973795489,0.016500000022114252,0
0.001500061945989728,1.5401822250624259e-07,8.8511224869867403e-08,1.2604513451941815e-07,0,0.43906973541129179,0.00046802025154258888,-0.00040398968849331141,-0.00023629491624888033,0,0,4.4403677752822395,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.028504385623383349,-0.022499999980107526,0.017500000018905851,0,-0.022499999980107526,0.017500000018905851,0
0.0015000557759776711,1.5024407142376339e-08,-1.4747549136325346e-08,-2.870993634886479e-09,0,0.43906973541129179,0.00044351598741491086,-0.00038243675953708589,-0.00022460756008513272,0,0,4.4715197606155002,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.028363709216624216,-0.021500000012608943,0.018499999999541324,0,-0.021500000012608943,0.018499999999541324,0
0.0015000507701188326,3.2042542243274378e-08,3.2011764043822705e-08,-1.4040926659742749e-09,0,0.43906973541129179,0.00042159902733255911,-0.00036075274692848325,-0.00021818156528752297,0,0,4.5011357932846883,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.028293108705103195,-0.020500000005683396,0.01949999999912223,0,-0.020500000005683396,0.01949999999912223,0
